"id","taxonID","acceptedNameUsageID","scientificName","acceptedNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","taxonRemarks","modified","language","license","rightsHolder","accessRights","datasetName","vernaculaNameEN","vernaculaNameFR","localities","Bryoquel_version"
486,486,486,"Diphyscium foliosum","Diphyscium foliosum (Hedw.) D. Mohr",,,,"|Musci|||Diphysciaceae|Diphyscium|foliosum|",,"Musci",,,"Diphysciaceae","Diphyscium","foliosum","","Espèce","(Hedw.) D. Mohr","Accepté","","2014-12-02",,,,,,"nut moss","bonnet d'elfe","Québec, Labrador",3.3
487,487,487,"Discelium nudum","Discelium nudum (Dicks.) Brid.",,,,"|Musci|||Disceliaceae|Discelium|nudum|",,"Musci",,,"Disceliaceae","Discelium","nudum","","Espèce","(Dicks.) Brid.","Accepté","","2014-12-02",,,,,,"naked flag moss","discélie nue","Québec, Labrador",3.3
488,488,488,"Distichium capillaceum","Distichium capillaceum (Hedw.) Bruch & Schimp.",,,,"|Musci|||Ditrichaceae|Distichium|capillaceum|",,"Musci",,,"Ditrichaceae","Distichium","capillaceum","","Espèce","(Hedw.) Bruch & Schimp.","Accepté","","2014-12-02",,,,,,"erect-fruited iris moss","tresse à feuilles étroites","Québec, Labrador",3.3
489,489,489,"Distichium inclinatum","Distichium inclinatum (Hedw.) Bruch & Schimp.",,,,"|Musci|||Ditrichaceae|Distichium|inclinatum|",,"Musci",,,"Ditrichaceae","Distichium","inclinatum","","Espèce","(Hedw.) Bruch & Schimp.","Accepté","","2014-12-02",,,,,,"inclined iris moss","tresse inclinée","Québec, Labrador",3.3
490,490,490,"Ditrichum flexicaule","Ditrichum flexicaule (Schwägr.) Hampe",,,,"|Musci|||Ditrichaceae|Ditrichum|flexicaule|",,"Musci",,,"Ditrichaceae","Ditrichum","flexicaule","","Espèce","(Schwägr.) Hampe","Accepté","","2014-12-02",,,,,,"flexible cow-hair moss","ditric flexueux","Québec, Labrador",3.3
491,491,491,"Ditrichum gracile","Ditrichum gracile (Mitt.) Kuntze",,,,"|Musci|||Ditrichaceae|Ditrichum|gracile|",,"Musci",,,"Ditrichaceae","Ditrichum","gracile","","Espèce","(Mitt.) Kuntze","Accepté","","2014-12-02",,,,,,"slender cow-hair moss","ditric élancé","Québec, Labrador",3.3
492,492,492,"Ditrichum lineare","Ditrichum lineare (Sm.) Lindb.",,,,"|Musci|||Ditrichaceae|Ditrichum|lineare|",,"Musci",,,"Ditrichaceae","Ditrichum","lineare","","Espèce","(Sm.) Lindb.","Accepté","","2014-12-02",,,,,,"dark cow-hair moss","ditric linéaire","Québec, Labrador",3.3
493,493,493,"Ditrichum pallidum","Ditrichum pallidum (Hedw.) Hampe",,,,"|Musci|||Ditrichaceae|Ditrichum|pallidum|",,"Musci",,,"Ditrichaceae","Ditrichum","pallidum","","Espèce","(Hedw.) Hampe","Accepté","","2014-12-02",,,,,,"pale cow-hair moss","ditric pâle","Québec, Labrador",3.3
494,494,494,"Ditrichum pusillum","Ditrichum pusillum (Hedw.) Hampe",,,,"|Musci|||Ditrichaceae|Ditrichum|pusillum|",,"Musci",,,"Ditrichaceae","Ditrichum","pusillum","","Espèce","(Hedw.) Hampe","Accepté","","2014-12-02",,,,,,"brown cow-hair moss","ditric brun","Québec, Labrador",3.3
495,495,495,"Drepanocladus aduncus","Drepanocladus aduncus (Hedw.) Warnst.",,,,"|Musci|||Amblystegiaceae|Drepanocladus|aduncus|",,"Musci",,,"Amblystegiaceae","Drepanocladus","aduncus","","Espèce","(Hedw.) Warnst.","Accepté","","2014-12-02",,,,,,"Knieff's hook moss","faucillette courbée","Québec, Labrador",3.3
496,496,496,"Drepanocladus arcticus","Drepanocladus arcticus (R.S. Williams) Hedenäs",,,,"|Musci|||Amblystegiaceae|Drepanocladus|arcticus|",,"Musci",,,"Amblystegiaceae","Drepanocladus","arcticus","","Espèce","(R.S. Williams) Hedenäs","Accepté","","2014-12-02",,,,,,"arctic hook moss","faucillette arctique","Québec, Labrador",3.3
498,498,498,"Drepanocladus longifolius","Drepanocladus longifolius (Wilson ex Mitt.) Broth. ex Paris",,,,"|Musci|||Amblystegiaceae|Drepanocladus|longifolius|",,"Musci",,,"Amblystegiaceae","Drepanocladus","longifolius","","Espèce","(Wilson ex Mitt.) Broth. ex Paris","Accepté","","2014-12-02",,,,,,"long-leaved hook moss","faucillette à feuilles longues","Québec, Labrador",3.3
