id	taxonID	acceptedNameUsageID	scientificName	acceptedNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	license	rightsHolder	accessRights	datasetName
1	1	1	Anthoceros agrestis	Anthoceros agrestis Paton				|Anthocerotae|||Anthocerotaceae|Anthoceros|agrestis|		Anthocerotae			Anthocerotaceae	Anthoceros	agrestis		Espèce	Paton	Accepté	Infraspecific Epithet Authorship : Hepaticae	2014-12-02					
2	2	2	Anthoceros macounii	Anthoceros macounii M. Howe				|Anthocerotae|||Anthocerotaceae|Anthoceros|macounii|		Anthocerotae			Anthocerotaceae	Anthoceros	macounii		Espèce	M. Howe	Accepté		2014-12-02					
3	3	3	Notothylas orbicularis	Notothylas orbicularis (Schwein.) Sull.				|Anthocerotae|||Anthocerotaceae|Notothylas|orbicularis|		Anthocerotae			Anthocerotaceae	Notothylas	orbicularis		Espèce	(Schwein.) Sull.	Accepté		2014-12-02					
4	4	4	Phaeoceros laevis subsp. carolinianus	Phaeoceros laevis (L.) Prosk. subsp. carolinianus (Michx.) Prosk.				|Anthocerotae|||Anthocerotaceae|Phaeoceros|laevis|carolinianus		Anthocerotae			Anthocerotaceae	Phaeoceros	laevis	carolinianus	Sous-espèce	(Michx.) Prosk.	Accepté	Infraspecific Epithet Authorship : (Michx.) Prosk.	2014-12-02					
7	7	7	Anastrophyllum assimile	Anastrophyllum assimile (Hook.) Stephani				|Hepaticae|||Anastrophyllacea|Anastrophyllum|assimile|		Hepaticae			Anastrophyllacea	Anastrophyllum	assimile		Espèce	(Hook.) Stephani	Accepté		2014-12-02					
8	8	8	Anastrophyllum cavifolium	Orthocaulis cavifolius H. Buch & S.W. Arnell														(H. Buch & S.W. Arnell) Lammes	Synonyme		2015-01-27					
11	11	11	Anastrophyllum hellerianum	Sphenolobus hellerianus (Nees ex Lindenb.) Steph.														(Nees ex Lindenb.) R.M. Schust.	Synonyme	However, it is clear that the genus Sphenolobus (Lindberg 1874: 369) Berggren (1898: 22), in the past synonymized underAnastrophyllum, should be reinstated as a well-supported genus.	2014-12-16					
12	12	12	Anastrophyllum michauxii	Anastrophyllum michauxii (F. Weber) H. Buch ex A. Evans				|Hepaticae|||Anastrophyllacea|Anastrophyllum|michauxii|		Hepaticae			Anastrophyllacea	Anastrophyllum	michauxii		Espèce	(F. Weber) H. Buch ex A. Evans	Accepté		2014-12-02					
13	13	13	Anastrophyllum minutum	Sphenolobus minutus (Schreb.) Berggr.														(Schreb.) R.M. Schust.	Synonyme	However, it is clear that the genus Sphenolobus (Lindberg 1874: 369) Berggren (1898: 22), in the past synonymized underAnastrophyllum, should be reinstated as a well-supported genus.	2014-12-16					
14	14	14	Anastrophyllum saxicola	Sphenolobus saxicola (Schrad.) Steph.														(Schrad.) R.M. Schust.	Synonyme	However, it is clear that the genus Sphenolobus (Lindberg 1874: 369) Berggren (1898: 22), in the past synonymized under Anastrophyllum, should be reinstated as a well-supported genus.	2014-12-16					
15	15	15	Anastrophyllum sphenoloboides	Schizophyllopsis sphenoloboides (R.M. Schust.) Vá a & L. Söderstr.														R.M. Schust.	Synonyme		2015-01-27					
16	16	16	Aneura maxima	Aneura maxima (Schiffn.) Stephani				|Hepaticae|||Aneuraceae|Aneura|maxima|		Hepaticae			Aneuraceae	Aneura	maxima		Espèce	(Schiffn.) Stephani	Accepté		2014-12-02					
17	17	17	Aneura pinguis	Aneura pinguis (L.) Dumort.				|Hepaticae|||Aneuraceae|Aneura|pinguis|		Hepaticae			Aneuraceae	Aneura	pinguis		Espèce	(L.) Dumort.	Accepté		2014-12-02					
18	18	18	Anthelia julacea	Anthelia julacea (L.) Dumort.				|Hepaticae|||Antheliaceae|Anthelia|julacea|		Hepaticae			Antheliaceae	Anthelia	julacea		Espèce	(L.) Dumort.	Accepté		2014-12-02					
19	19	19	Anthelia juratzkana	Anthelia juratzkana (Limpr.) Trevis.				|Hepaticae|||Antheliaceae|Anthelia|juratzkana|		Hepaticae			Antheliaceae	Anthelia	juratzkana		Espèce	(Limpr.) Trevis.	Accepté		2014-12-02					
20	20	20	Apomarsupella revoluta	Apomarsupella revoluta (Nees) R.M. Schust.				|Hepaticae|||Gymnomitriaceae|Apomarsupella|revoluta|		Hepaticae			Gymnomitriaceae	Apomarsupella	revoluta		Espèce	(Nees) R.M. Schust.	Accepté		2014-12-02					
22	22	22	Arnellia fennica	Arnellia fennica (Gottsche & Rabenh.) Lindb.				|Hepaticae|||Arnelliaceae|Arnellia|fennica|		Hepaticae			Arnelliaceae	Arnellia	fennica		Espèce	(Gottsche & Rabenh.) Lindb.	Accepté		2014-12-02					
23	23	23	Asterella gracilis	Asterella gracilis (F. Weber) Underw.				|Hepaticae|||Aytoniaceae|Asterella|gracilis|		Hepaticae			Aytoniaceae	Asterella	gracilis		Espèce	(F. Weber) Underw.	Accepté		2014-12-02					
24	24	24	Asterella tenella	Asterella tenella (L.) P. Beauv.				|Hepaticae|||Aytoniaceae|Asterella|tenella|		Hepaticae			Aytoniaceae	Asterella	tenella		Espèce	(L.) P. Beauv.	Accepté		2014-12-02					
25	25	25	Barbilophozia atlantica	Orthocaulis atlanticus (Kaal.) Müll. Frib.														(Kaal.) Müll. Frib.	Synonyme		2015-01-27					
26	26	26	Barbilophozia attenuata	Neoorthocaulis attenuatus (Mart.) L. Söderstr., De Roo, Hedd. & Mart.														(Nees) Loeske	Synonyme		2015-01-27					
27	27	27	Barbilophozia barbata	Barbilophozia barbata (Schreb.) Loeske				|Hepaticae|||Anastrophyllacea|Barbilophozia|barbata|		Hepaticae			Anastrophyllacea	Barbilophozia	barbata		Espèce	(Schreb.) Loeske	Accepté		2014-12-02					
28	28	28	Barbilophozia binsteadii	Neoorthocaulis binsteadii (Kaal.) L. Söderstr., De Roo & Hedd.														(Kaal.) Loeske	Synonyme		2014-12-16					
29	29	29	Barbilophozia floerkei	Neoorthocaulis floerkei (F. Weber & D. Mohr) L. Söderstr., De Roo & Hedd.														(F. Weber & D. Mohr) Loeske	Synonyme		2014-12-16					
30	30	30	Barbilophozia hatcheri	Barbilophozia hatcheri (A. Evans) Loeske				|Hepaticae|||Anastrophyllacea|Barbilophozia|hatcheri|		Hepaticae			Anastrophyllacea	Barbilophozia	hatcheri		Espèce	(A. Evans) Loeske	Accepté		2014-12-02					
31	31	31	Barbilophozia kunzeana	Schljakovia kunzeana (Huebener) Konstant. & Vilnet														(Huebener) Müll. Frib.	Synonyme		2014-12-16					
32	32	32	Barbilophozia lycopodioides	Barbilophozia lycopodioides (Wallr.) Loeske				|Hepaticae|||Anastrophyllacea|Barbilophozia|lycopodioides|		Hepaticae			Anastrophyllacea	Barbilophozia	lycopodioides		Espèce	(Wallr.) Loeske	Accepté		2014-12-02					
33	33	33	Barbilophozia quadriloba	Schljakovianthus quadriloba (Lindb.) Konstant. & Vilnet														(Lindb.) Loeske	Synonyme		2014-12-16					
34	34	34	Bazzania denudata	Bazzania denudata (Torr. ex Gottsche, Lindenb. & Nees) Trevis.				|Hepaticae|||Lepidoziaceae|Bazzania|denudata|		Hepaticae			Lepidoziaceae	Bazzania	denudata		Espèce	(Torr. ex Gottsche, Lindenb. & Nees) Trevis.	Accepté		2014-12-02					
35	35	35	Bazzania tricrenata	Bazzania tricrenata (Wahlenb.) Trevis.				|Hepaticae|||Lepidoziaceae|Bazzania|tricrenata|		Hepaticae			Lepidoziaceae	Bazzania	tricrenata		Espèce	(Wahlenb.) Trevis.	Accepté		2014-12-02					
36	36	36	Bazzania trilobata	Bazzania trilobata (L.) Gray				|Hepaticae|||Lepidoziaceae|Bazzania|trilobata|		Hepaticae			Lepidoziaceae	Bazzania	trilobata		Espèce	(L.) Gray	Accepté		2014-12-02					
37	37	37	Blasia pusilla	Blasia pusilla L.				|Hepaticae|||Blasiaceae|Blasia|pusilla|		Hepaticae			Blasiaceae	Blasia	pusilla		Espèce	L.	Accepté		2014-12-02					
38	38	38	Blepharostoma trichophyllum var. brevirete	Blepharostoma trichophyllum (L.) Dumort. var. brevirete Bryhn & Kaal.				|Hepaticae|||Trichocoleaceae|Blepharostoma|trichophyllum|brevirete		Hepaticae			Trichocoleaceae	Blepharostoma	trichophyllum	brevirete	Variété	Bryhn & Kaal.	Accepté	Infraspecific Epithet Authorship : Bryhn & Kaal.	2014-12-02					
39	39	39	Blepharostoma trichophyllum var. trichophyllum	Blepharostoma trichophyllum (L.) Dumort. var. trichophyllum				|Hepaticae|||Trichocoleaceae|Blepharostoma|trichophyllum|trichophyllum		Hepaticae			Trichocoleaceae	Blepharostoma	trichophyllum	trichophyllum	Variété		Accepté		2014-12-02					
40	40	40	Calypogeia fissa subsp. neogaea	Calypogeia fissa (L.) Raddi subsp. neogaea R.M. Schust.				|Hepaticae|||Calypogeiaceae|Calypogeia|fissa|neogaea		Hepaticae			Calypogeiaceae	Calypogeia	fissa	neogaea	Sous-espèce	R.M. Schust.	Accepté	Infraspecific Epithet Authorship : R.M. Schust.	2014-12-02					
41	41	41	Calypogeia integristipula	Calypogeia integristipula Stephani				|Hepaticae|||Calypogeiaceae|Calypogeia|integristipula|		Hepaticae			Calypogeiaceae	Calypogeia	integristipula		Espèce	Stephani	Accepté		2014-12-02					
42	42	42	Calypogeia muelleriana	Calypogeia muelleriana (Schiffn.) Müll. Frib.				|Hepaticae|||Calypogeiaceae|Calypogeia|muelleriana|		Hepaticae			Calypogeiaceae	Calypogeia	muelleriana		Espèce	(Schiffn.) Müll. Frib.	Accepté		2014-12-02					
43	43	43	Calypogeia neesiana	Calypogeia neesiana (C. Massal. & Carestia) Müll. Frib.				|Hepaticae|||Calypogeiaceae|Calypogeia|neesiana|		Hepaticae			Calypogeiaceae	Calypogeia	neesiana		Espèce	(C. Massal. & Carestia) Müll. Frib.	Accepté		2014-12-02					
44	44	44	Calypogeia sphagnicola	Calypogeia sphagnicola (Arnell & J. Perss.) Warnst. & Loeske				|Hepaticae|||Calypogeiaceae|Calypogeia|sphagnicola|		Hepaticae			Calypogeiaceae	Calypogeia	sphagnicola		Espèce	(Arnell & J. Perss.) Warnst. & Loeske	Accepté		2014-12-02					
45	45	45	Calypogeia suecica	Calypogeia suecica (Arnell & J. Perss.) Müll. Frib.				|Hepaticae|||Calypogeiaceae|Calypogeia|suecica|		Hepaticae			Calypogeiaceae	Calypogeia	suecica		Espèce	(Arnell & J. Perss.) Müll. Frib.	Accepté		2014-12-02					
46	46	46	Cephalozia ambigua	Cephalozia ambigua C. Massal.				|Hepaticae|||Cephaloziaceae|Cephalozia|ambigua|		Hepaticae			Cephaloziaceae	Cephalozia	ambigua		Espèce	C. Massal.	Accepté		2014-12-02					
47	47	47	Cephalozia bicuspidata	Cephalozia bicuspidata (L.) Dumort.				|Hepaticae|||Cephaloziaceae|Cephalozia|bicuspidata|		Hepaticae			Cephaloziaceae	Cephalozia	bicuspidata		Espèce	(L.) Dumort.	Accepté		2014-12-02					
48	48	48	Cephalozia catenulata	Fuscocephaloziopsis catenulata (Huebener) Vá a & L. Söderstr.														(Huebener) Lindb.	Synonyme		2014-12-16					
49	49	49	Cephalozia connivens	Fuscocephaloziopsis connivens (Dicks.) Vá a & L. Söderstr.				|Hepaticae|||Cephaloziaceae|Fuscocephaloziopsis|connivens|		Hepaticae			Cephaloziaceae	Fuscocephaloziopsis	connivens		Espèce	(Dicks.) Vá a & L. Söderstr.	Accepté		2014-12-16					
50	50	50	Cephalozia leucantha	Fuscocephaloziopsis leucantha (Spruce) Vá a & L. Söderstr.														Spruce	Synonyme		2014-12-16					
51	51	51	Cephalozia loitlesbergeri	Fuscocephaloziopsis loitlesbergeri (Schiffn.) Vá a & L. Söderstr.														Schiffn.	Synonyme		2014-12-16					
52	52	52	Cephalozia lunulifolia	Cephalozia lunulifolia (Dumort.) Dumort.				|Hepaticae|||Cephaloziaceae|Cephalozia|lunulifolia|		Hepaticae			Cephaloziaceae	Cephalozia	lunulifolia		Espèce	(Dumort.) Dumort.	Accepté		2014-12-02					
53	53	53	Cephalozia macrostachya	Fuscocephaloziopsis macrostachya (Kaal.) Vá a & L. Söderstr.														Kaal.	Synonyme		2014-12-16					
54	54	54	Cephalozia pleniceps	Fuscocephaloziopsis pleniceps (Austin) Vá a & L. Söderstr.														(Austin) Lindb.	Synonyme		2014-12-16					
55	55	55	Cephaloziella divaricata	Cephaloziella divaricata (Sm.) Schiffn.				|Hepaticae|||Cephaloziaceae|Cephaloziella|divaricata|		Hepaticae			Cephaloziaceae	Cephaloziella	divaricata		Espèce	(Sm.) Schiffn.	Accepté		2014-12-02					
56	56	56	Cephaloziella elachista	Cephaloziella elachista (J.B. Jack) Schiffn.				|Hepaticae|||Cephaloziaceae|Cephaloziella|elachista|		Hepaticae			Cephaloziaceae	Cephaloziella	elachista		Espèce	(J.B. Jack) Schiffn.	Accepté		2014-12-02					
57	57	57	Cephaloziella grimsulana	Cephaloziella grimsulana (J.B. Jack) Müll. Frib.				|Hepaticae|||Cephaloziaceae|Cephaloziella|grimsulana|		Hepaticae			Cephaloziaceae	Cephaloziella	grimsulana		Espèce	(J.B. Jack) Müll. Frib.	Accepté		2014-12-02					
58	58	58	Cephaloziella hampeana	Cephaloziella hampeana (Nees) Schiffn. ex Loeske				|Hepaticae|||Cephaloziaceae|Cephaloziella|hampeana|		Hepaticae			Cephaloziaceae	Cephaloziella	hampeana		Espèce	(Nees) Schiffn. ex Loeske	Accepté		2014-12-02					
59	59	59	Cephaloziella rubella var. rubella	Cephaloziella rubella (Nees) Warnst. var. rubella				|Hepaticae|||Cephaloziaceae|Cephaloziella|rubella|rubella		Hepaticae			Cephaloziaceae	Cephaloziella	rubella	rubella	Variété		Accepté		2014-12-02					
60	60	60	Cephaloziella rubella var. sullivantii	Cephaloziella rubella (Nees) Warnst. var. sullivantii (Austin) Müll. Frib.				|Hepaticae|||Cephaloziaceae|Cephaloziella|rubella|sullivantii		Hepaticae			Cephaloziaceae	Cephaloziella	rubella	sullivantii	Variété	(Austin) Müll. Frib.	Accepté	Infraspecific Epithet Authorship : (Austin) Müll. Frib.	2014-12-02					
61	61	61	Cephaloziella spinigera	Cephaloziella spinigera (Lindb.) Jörg.				|Hepaticae|||Cephaloziaceae|Cephaloziella|spinigera|		Hepaticae			Cephaloziaceae	Cephaloziella	spinigera		Espèce	(Lindb.) Jörg.	Accepté		2014-12-02					
62	62	62	Cephaloziella uncinata	Cephaloziella uncinata R.M. Schust.				|Hepaticae|||Cephaloziaceae|Cephaloziella|uncinata|		Hepaticae			Cephaloziaceae	Cephaloziella	uncinata		Espèce	R.M. Schust.	Accepté		2014-12-02					
63	63	63	Cephaloziella varians	Cephaloziella varians (Gottsche) Stephani				|Hepaticae|||Cephaloziaceae|Cephaloziella|varians|		Hepaticae			Cephaloziaceae	Cephaloziella	varians		Espèce	(Gottsche) Stephani	Accepté		2014-12-02					
64	64	64	Chiloscyphus coadunatus var. rivularis	Chiloscyphus coadunatus (Sw.) R.M. Schust. & J.J. Engel var. rivularis (Raddi) Frisvoll, Elvebakk, Flatberg & Okland				|Hepaticae|||Lophocoleaceae|Chiloscyphus|coadunatus|rivularis		Hepaticae			Lophocoleaceae	Chiloscyphus	coadunatus	rivularis	Variété	(Raddi) Frisvoll, Elvebakk, Flatberg & Okland	Accepté	Infraspecific Epithet Authorship : (Raddi) Frisvoll, Elvebakk, Flatberg & Okland	2014-12-02					
65	65	64	Lophocolea bidentata var. rivularis	Chiloscyphus coadunatus (Sw.) R.M. Schust. & J.J. Engel var. rivularis (Raddi) Frisvoll, Elvebakk, Flatberg & Okland														(Raddi,) Warnst.	Synonyme	Infraspecific Epithet Authorship : (Raddi) Frisvoll, Elvebakk, Flatberg & Okland	2015-01-27					
66	66	66	Chiloscyphus minor	Chiloscyphus minor (Nees) J.J. Engel & R.M. Schust.				|Hepaticae|||Lophocoleaceae|Chiloscyphus|minor|		Hepaticae			Lophocoleaceae	Chiloscyphus	minor		Espèce	(Nees) J.J. Engel & R.M. Schust.	Accepté		2014-12-02					
68	68	68	Chiloscyphus pallescens var. pallescens	Chiloscyphus pallescens (Ehrh. ex Hoffm.) Dumort. var. pallescens				|Hepaticae|||Lophocoleaceae|Chiloscyphus|pallescens|pallescens		Hepaticae			Lophocoleaceae	Chiloscyphus	pallescens	pallescens	Variété		Accepté		2014-12-02					
69	69	69	Chiloscyphus pallescens var. fragilis	Chiloscyphus pallescens (Ehrh. ex Hoffm.) Dumort. var. fragilis (Roth) Müll. Frib.				|Hepaticae|||Lophocoleaceae|Chiloscyphus|pallescens|fragilis		Hepaticae			Lophocoleaceae	Chiloscyphus	pallescens	fragilis	Variété	(Roth) Müll. Frib.	Accepté	Infraspecific Epithet Authorship : (Roth) Müll. Frib.	2014-12-02					
70	70	70	Chiloscyphus polyanthos var. polyanthos	Chiloscyphus polyanthos (L.) Corda var. polyanthos				|Hepaticae|||Lophocoleaceae|Chiloscyphus|polyanthos|polyanthos		Hepaticae			Lophocoleaceae	Chiloscyphus	polyanthos	polyanthos	Variété		Accepté		2014-12-02					
71	71	71	Chiloscyphus polyanthos var. rivularis	Chiloscyphus polyanthos (L.) Corda var. rivularis (Schrad.) Nees				|Hepaticae|||Lophocoleaceae|Chiloscyphus|polyanthos|rivularis		Hepaticae			Lophocoleaceae	Chiloscyphus	polyanthos	rivularis	Variété	(Schrad.) Nees	Accepté	Infraspecific Epithet Authorship : (Schrad.) Nees	2014-12-02					
72	72	72	Chiloscyphus profundus	Chiloscyphus profundus (Nees) J.J. Engel & R.M. Schust.				|Hepaticae|||Lophocoleaceae|Chiloscyphus|profundus|		Hepaticae			Lophocoleaceae	Chiloscyphus	profundus		Espèce	(Nees) J.J. Engel & R.M. Schust.	Accepté		2014-12-02					
74	74	74	Cladopodiella fluitans	Odontoschisma fluitans (Nees) L. Söderstr. & Vá a														(Nees) Jörg.	Synonyme		2014-12-17					
75	75	75	Cladopodiella francisci	Odontoschisma francisci (Hook.) L. Söderstr. & Vá a														(Hook.) Jörg.	Synonyme		2014-12-16					
76	76	76	Clevea hyalina	Clevea hyalina (Sommerf.) Lindb.				|Hepaticae|||Cleveaceae|Clevea|hyalina|		Hepaticae			Cleveaceae	Clevea	hyalina		Espèce	(Sommerf.) Lindb.	Accepté		2014-12-02					
78	78	78	Cololejeunea biddlecomiae	Cololejeunea biddlecomiae (Austin ex Pearson) A. Evans				|Hepaticae|||Lejeuneaceae|Cololejeunea|biddlecomiae|		Hepaticae			Lejeuneaceae	Cololejeunea	biddlecomiae		Espèce	(Austin ex Pearson) A. Evans	Accepté		2014-12-02					
79	79	79	Conocephalum salebrosum	Conocephalum salebrosum Szweyk., Buczkowska & Odrzykoski				|Hepaticae|||Conocephalaceae|Conocephalum|salebrosum|		Hepaticae			Conocephalaceae	Conocephalum	salebrosum		Espèce	Szweyk., Buczkowska & Odrzykoski	Accepté		2014-12-02					
80	80	79	Conocephalum conicum auct.	Conocephalum salebrosum Szweyk., Buczkowska & Odrzykoski														sensu lato	Synonyme		2014-12-15					
81	81	81	Diplophyllum albicans	Diplophyllum albicans (L.) Dumort.				|Hepaticae|||Scapaniaceae|Diplophyllum|albicans|		Hepaticae			Scapaniaceae	Diplophyllum	albicans		Espèce	(L.) Dumort.	Accepté		2014-12-02					
82	82	82	Diplophyllum apiculatum	Diplophyllum apiculatum (A. Evans) Stephani				|Hepaticae|||Scapaniaceae|Diplophyllum|apiculatum|		Hepaticae			Scapaniaceae	Diplophyllum	apiculatum		Espèce	(A. Evans) Stephani	Accepté		2014-12-02					
83	83	83	Diplophyllum obtusatum	Diplophyllum obtusatum (R.M. Schust.) R.M. Schust.				|Hepaticae|||Scapaniaceae|Diplophyllum|obtusatum|		Hepaticae			Scapaniaceae	Diplophyllum	obtusatum		Espèce	(R.M. Schust.) R.M. Schust.	Accepté		2014-12-02					
84	84	84	Diplophyllum taxifolium var. taxifolium	Diplophyllum taxifolium (Wahlenb.) Dumort. var. taxifolium				|Hepaticae|||Scapaniaceae|Diplophyllum|taxifolium|taxifolium		Hepaticae			Scapaniaceae	Diplophyllum	taxifolium	taxifolium	Variété		Accepté		2014-12-02					
85	85	85	Eocalypogeia schusterana	Eocalypogeia schusterana (S. Hatt. & Mizut.) R.M. Schust.				|Hepaticae|||Calypogeiaceae|Eocalypogeia|schusterana|		Hepaticae			Calypogeiaceae	Eocalypogeia	schusterana		Espèce	(S. Hatt. & Mizut.) R.M. Schust.	Accepté		2014-12-02					
87	87	87	Eremonotus myriocarpus	Eremonotus myriocarpus (Carrington) Pearson				|Hepaticae|||Gymnomitriaceae|Eremonotus|myriocarpus|		Hepaticae			Gymnomitriaceae	Eremonotus	myriocarpus		Espèce	(Carrington) Pearson	Accepté		2014-12-02					
89	89	89	Fossombronia foveolata	Fossombronia foveolata Lindb.				|Hepaticae|||Fossombroniaceae|Fossombronia|foveolata|		Hepaticae			Fossombroniaceae	Fossombronia	foveolata		Espèce	Lindb.	Accepté		2014-12-02					
90	90	90	Fossombronia wondraczekii	Fossombronia wondraczekii (Corda) Dumort.				|Hepaticae|||Fossombroniaceae|Fossombronia|wondraczekii|		Hepaticae			Fossombroniaceae	Fossombronia	wondraczekii		Espèce	(Corda) Dumort.	Accepté		2014-12-02					
91	91	91	Frullania asagrayana	Frullania asagrayana Mont.				|Hepaticae|||Frullaniaceae|Frullania|asagrayana|		Hepaticae			Frullaniaceae	Frullania	asagrayana		Espèce	Mont.	Accepté		2014-12-02					
93	93	93	Frullania bolanderi	Frullania bolanderi Austin				|Hepaticae|||Frullaniaceae|Frullania|bolanderi|		Hepaticae			Frullaniaceae	Frullania	bolanderi		Espèce	Austin	Accepté		2014-12-02					
94	94	94	Frullania eboracensis	Frullania eboracensis Gottsche				|Hepaticae|||Frullaniaceae|Frullania|eboracensis|		Hepaticae			Frullaniaceae	Frullania	eboracensis		Espèce	Gottsche	Accepté		2014-12-02					
95	95	95	Frullania inflata var. communis	Frullania inflata Gottsche var. communis R.M. Schust.				|Hepaticae|||Frullaniaceae|Frullania|inflata|communis		Hepaticae			Frullaniaceae	Frullania	inflata	communis	Variété	R.M. Schust.	Accepté	Infraspecific Epithet Authorship : R.M. Schust.	2014-12-02					
96	96	96	Frullania oakesiana	Frullania oakesiana Austin				|Hepaticae|||Frullaniaceae|Frullania|oakesiana|		Hepaticae			Frullaniaceae	Frullania	oakesiana		Espèce	Austin	Accepté		2014-12-02					
97	97	97	Frullania riparia	Frullania riparia Hampe ex Lehm.				|Hepaticae|||Frullaniaceae|Frullania|riparia|		Hepaticae			Frullaniaceae	Frullania	riparia		Espèce	Hampe ex Lehm.	Accepté		2014-12-02					
98	98	98	Frullania selwyniana	Frullania selwyniana Pearson				|Hepaticae|||Frullaniaceae|Frullania|selwyniana|		Hepaticae			Frullaniaceae	Frullania	selwyniana		Espèce	Pearson	Accepté		2014-12-02					
99	99	99	Geocalyx graveolens	Geocalyx graveolens (Schrad.) Nees				|Hepaticae|||Geocalyceae|Geocalyx|graveolens|		Hepaticae			Geocalyceae	Geocalyx	graveolens		Espèce	(Schrad.) Nees	Accepté		2014-12-02					
100	100	100	Gymnocolea inflata subsp. acutiloba	Gymnocolea inflata (Huds.) Dumort. subsp. acutiloba (Schiffn.) R.M. Schust. & Damsh. ex L. Söderstr. & Vá a				|Hepaticae|||Lophoziaceae|Gymnocolea|inflata|acutiloba		Hepaticae			Lophoziaceae	Gymnocolea	inflata	acutiloba	Sous-espèce	(Schiffn.) R.M. Schust. & Damsh. ex L. Söderstr. & Vá a	Accepté	Infraspecific Epithet Authorship : (Schiffn.) R.M. Schust. & Damsh. ex L. Söderstr. & Vá a	2014-12-02					
102	102	102	Gymnocolea inflata subsp. inflata	Gymnocolea inflata (Huds.) Dumort. subsp. inflata				|Hepaticae|||Lophoziaceae|Gymnocolea|inflata|inflata		Hepaticae			Lophoziaceae	Gymnocolea	inflata	inflata	Sous-espèce		Accepté		2014-12-02					
103	103	103	Gymnomitrion apiculatum	Gymnomitrion apiculatum (Schiffn.) Müll. Frib.				|Hepaticae|||Gymnomitriaceae|Gymnomitrion|apiculatum|		Hepaticae			Gymnomitriaceae	Gymnomitrion	apiculatum		Espèce	(Schiffn.) Müll. Frib.	Accepté		2014-12-02					
105	105	105	Gymnomitrion concinnatum	Gymnomitrion concinnatum (Lightf.) Corda				|Hepaticae|||Gymnomitriaceae|Gymnomitrion|concinnatum|		Hepaticae			Gymnomitriaceae	Gymnomitrion	concinnatum		Espèce	(Lightf.) Corda	Accepté		2014-12-02					
106	106	106	Gymnomitrion corallioides	Gymnomitrion corallioides Nees				|Hepaticae|||Gymnomitriaceae|Gymnomitrion|corallioides|		Hepaticae			Gymnomitriaceae	Gymnomitrion	corallioides		Espèce	Nees	Accepté		2014-12-02					
107	107	107	Gymnomitrion obtusum	Gymnomitrion obtusum (Lindb.) Pearson				|Hepaticae|||Gymnomitriaceae|Gymnomitrion|obtusum|		Hepaticae			Gymnomitriaceae	Gymnomitrion	obtusum		Espèce	(Lindb.) Pearson	Accepté		2014-12-02					
108	108	108	Harpanthus drummondii	Harpanthus drummondii (Taylor) Grolle				|Hepaticae|||Geocalyceae|Harpanthus|drummondii|		Hepaticae			Geocalyceae	Harpanthus	drummondii		Espèce	(Taylor) Grolle	Accepté		2014-12-02					
109	109	109	Harpanthus flotovianus	Harpanthus flotovianus (Nees) Nees				|Hepaticae|||Geocalyceae|Harpanthus|flotovianus|		Hepaticae			Geocalyceae	Harpanthus	flotovianus		Espèce	(Nees) Nees	Accepté		2014-12-02					
110	110	110	Harpanthus scutatus	Harpanthus scutatus (F. Weber & D. Mohr) Spruce				|Hepaticae|||Geocalyceae|Harpanthus|scutatus|		Hepaticae			Geocalyceae	Harpanthus	scutatus		Espèce	(F. Weber & D. Mohr) Spruce	Accepté		2014-12-02					
111	111	111	Hygrobiella laxifolia	Hygrobiella laxifolia (Hook.) Spruce				|Hepaticae|||Cephaloziaceae|Hygrobiella|laxifolia|		Hepaticae			Cephaloziaceae	Hygrobiella	laxifolia		Espèce	(Hook.) Spruce	Accepté		2014-12-02					
112	112		Jamesoniella autumnalis	Syzygiella autumnalis (DC.) K. Feldberg, Vá a, Hentschel & J. Heinrichs														(DC.) Steph.	Synonyme		2015-01-27					
113	113	113	Jungermannia atrovirens	Jungermannia atrovirens Dumort.				|Hepaticae|||Jungermanniaceae|Jungermannia|atrovirens|		Hepaticae			Jungermanniaceae	Jungermannia	atrovirens		Espèce	Dumort.	Accepté		2014-12-02					
114	114	114	Jungermannia caespiticia	Jungermannia caespiticia Lindenb.				|Hepaticae|||Jungermanniaceae|Jungermannia|caespiticia|		Hepaticae			Jungermanniaceae	Jungermannia	caespiticia		Espèce	Lindenb.	Accepté		2014-12-02					
115	115	115	Jungermannia confertissima	Jungermannia confertissima Nees				|Hepaticae|||Jungermanniaceae|Jungermannia|confertissima|		Hepaticae			Jungermanniaceae	Jungermannia	confertissima		Espèce	Nees	Accepté		2014-12-02					
116	116	116	Jungermannia crenuliformis	Jungermannia crenuliformis Austin				|Hepaticae|||Jungermanniaceae|Jungermannia|crenuliformis|		Hepaticae			Jungermanniaceae	Jungermannia	crenuliformis		Espèce	Austin	Accepté		2014-12-02					
117	117	117	Jungermannia exsertifolia subsp. cordifolia	Jungermannia exsertifolia Stephani subsp. cordifolia (Dumort.) Vá a				|Hepaticae|||Jungermanniaceae|Jungermannia|exsertifolia|cordifolia		Hepaticae			Jungermanniaceae	Jungermannia	exsertifolia	cordifolia	Sous-espèce	(Dumort.) Vá a	Accepté	Infraspecific Epithet Authorship : (Dumort.) Vá a	2014-12-02					
