id	taxonID	acceptedNameUsageID	scientificName	acceptedNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	license	rightsHolder	accessRights	datasetName
480	480	480	Didymodon fallax	Didymodon fallax (Hedw.) R.H. Zander				|Musci|||Pottiaceae|Didymodon|fallax|		Musci			Pottiaceae	Didymodon	fallax		Espèce	(Hedw.) R.H. Zander	Accepté		2014-12-02					
482	482	482	Didymodon ferrugineus	Didymodon ferrugineus (Schimp. ex Besch.) M.O. Hill				|Musci|||Pottiaceae|Didymodon|ferrugineus|		Musci			Pottiaceae	Didymodon	ferrugineus		Espèce	(Schimp. ex Besch.) M.O. Hill	Accepté		2014-12-02					
483	483	483	Didymodon maschalogena	Didymodon maschalogena (Renauld & Cardot) Broth.				|Musci|||Pottiaceae|Didymodon|maschalogena|		Musci			Pottiaceae	Didymodon	maschalogena		Espèce	(Renauld & Cardot) Broth.	Accepté		2014-12-02					
484	484	484	Didymodon rigidulus var. rigidulus	Didymodon rigidulus Hedw. var. rigidulus				|Musci|||Pottiaceae|Didymodon|rigidulus|rigidulus		Musci			Pottiaceae	Didymodon	rigidulus	rigidulus	Variété		Accepté		2014-12-02					
485	485	485	Didymodon tophaceus	Didymodon tophaceus (Brid.) Lisa				|Musci|||Pottiaceae|Didymodon|tophaceus|		Musci			Pottiaceae	Didymodon	tophaceus		Espèce	(Brid.) Lisa	Accepté		2014-12-02					
486	486	486	Diphyscium foliosum	Diphyscium foliosum (Hedw.) D. Mohr				|Musci|||Diphysciaceae|Diphyscium|foliosum|		Musci			Diphysciaceae	Diphyscium	foliosum		Espèce	(Hedw.) D. Mohr	Accepté		2014-12-02					
487	487	487	Discelium nudum	Discelium nudum (Dicks.) Brid.				|Musci|||Disceliaceae|Discelium|nudum|		Musci			Disceliaceae	Discelium	nudum		Espèce	(Dicks.) Brid.	Accepté		2014-12-02					
488	488	488	Distichium capillaceum	Distichium capillaceum (Hedw.) Bruch & Schimp.				|Musci|||Ditrichaceae|Distichium|capillaceum|		Musci			Ditrichaceae	Distichium	capillaceum		Espèce	(Hedw.) Bruch & Schimp.	Accepté		2014-12-02					
489	489	489	Distichium inclinatum	Distichium inclinatum (Hedw.) Bruch & Schimp.				|Musci|||Ditrichaceae|Distichium|inclinatum|		Musci			Ditrichaceae	Distichium	inclinatum		Espèce	(Hedw.) Bruch & Schimp.	Accepté		2014-12-02					
490	490	490	Ditrichum flexicaule	Ditrichum flexicaule (Schwägr.) Hampe				|Musci|||Ditrichaceae|Ditrichum|flexicaule|		Musci			Ditrichaceae	Ditrichum	flexicaule		Espèce	(Schwägr.) Hampe	Accepté		2014-12-02					
491	491	491	Ditrichum gracile	Ditrichum gracile (Mitt.) Kuntze				|Musci|||Ditrichaceae|Ditrichum|gracile|		Musci			Ditrichaceae	Ditrichum	gracile		Espèce	(Mitt.) Kuntze	Accepté		2014-12-02					
492	492	492	Ditrichum lineare	Ditrichum lineare (Sm.) Lindb.				|Musci|||Ditrichaceae|Ditrichum|lineare|		Musci			Ditrichaceae	Ditrichum	lineare		Espèce	(Sm.) Lindb.	Accepté		2014-12-02					
493	493	493	Ditrichum pallidum	Ditrichum pallidum (Hedw.) Hampe				|Musci|||Ditrichaceae|Ditrichum|pallidum|		Musci			Ditrichaceae	Ditrichum	pallidum		Espèce	(Hedw.) Hampe	Accepté		2014-12-02					
494	494	494	Ditrichum pusillum	Ditrichum pusillum (Hedw.) Hampe				|Musci|||Ditrichaceae|Ditrichum|pusillum|		Musci			Ditrichaceae	Ditrichum	pusillum		Espèce	(Hedw.) Hampe	Accepté		2014-12-02					
495	495	495	Drepanocladus aduncus	Drepanocladus aduncus (Hedw.) Warnst.				|Musci|||Amblystegiaceae|Drepanocladus|aduncus|		Musci			Amblystegiaceae	Drepanocladus	aduncus		Espèce	(Hedw.) Warnst.	Accepté		2014-12-02					
496	496	496	Drepanocladus arcticus	Drepanocladus arcticus (R.S. Williams) Hedenäs				|Musci|||Amblystegiaceae|Drepanocladus|arcticus|		Musci			Amblystegiaceae	Drepanocladus	arcticus		Espèce	(R.S. Williams) Hedenäs	Accepté		2014-12-02					
498	498	498	Drepanocladus longifolius	Drepanocladus longifolius (Wilson ex Mitt.) Broth. ex Paris				|Musci|||Amblystegiaceae|Drepanocladus|longifolius|		Musci			Amblystegiaceae	Drepanocladus	longifolius		Espèce	(Wilson ex Mitt.) Broth. ex Paris	Accepté		2014-12-02					
500	500	500	Drepanocladus polygamus	Drepanocladus polygamus (Schimp.) Hedenäs				|Musci|||Amblystegiaceae|Drepanocladus|polygamus|		Musci			Amblystegiaceae	Drepanocladus	polygamus		Espèce	(Schimp.) Hedenäs	Accepté		2014-12-02					
502	502	502	Drummondia prorepens	Drummondia prorepens (Hedw.) E. Britton				|Musci|||Orthotrichaceae|Drummondia|prorepens|		Musci			Orthotrichaceae	Drummondia	prorepens		Espèce	(Hedw.) E. Britton	Accepté		2014-12-02					
503	503	503	Encalypta affinis subsp. affinis	Encalypta affinis R. Hedw. subsp. affinis				|Musci|||Encalyptaceae|Encalypta|affinis|affinis		Musci			Encalyptaceae	Encalypta	affinis	affinis	Sous-espèce		Accepté		2014-12-02					
504	504	504	Encalypta affinis subsp. macounii	Encalypta affinis R. Hedw. subsp. macounii (Austin) D.G. Horton				|Musci|||Encalyptaceae|Encalypta|affinis|macounii		Musci			Encalyptaceae	Encalypta	affinis	macounii	Sous-espèce	(Austin) D.G. Horton	Accepté	Infraspecific Epithet Authorship : (Austin) D.G. Horton	2014-12-02					
